node_id,job_id,subjob_id,worker_count,subjob_throughput
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,bc57e6d1-9c8c-4893-944c-6d99c26b4e83,284b9774-a23b-4510-be2f-b392ccdd8818,1.0,75059127.4158912
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,bc57e6d1-9c8c-4893-944c-6d99c26b4e83,4e460163-81d4-412f-9c8d-928cfb6b35e9,40.0,4029401924.9417133
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,bc57e6d1-9c8c-4893-944c-6d99c26b4e83,d0083a86-4808-4e19-98d9-af595eb158ba,50.0,5055873777.3841915
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,e6883fc1-6834-445a-ad91-aaa669cde560,cfbeffa4-b783-49ac-b704-c09dfe9c617b,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,e6883fc1-6834-445a-ad91-aaa669cde560,aaa15a80-6164-44d5-ba33-a020cc097906,40.0,3873546621.821521
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,e6883fc1-6834-445a-ad91-aaa669cde560,0c345b43-8769-4a48-8056-2b83ecb1cf7e,50.0,5044733551.415318
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,874b2e65-3218-48ef-9ee9-9a83c2702d74,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,5df540e3-e1f2-49fc-82bd-7503e30a01ab,1.0,67693738.5409942
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,1425dadb-d6a0-4f2a-941f-31b93b5dacb9,16.0,1598565625.5242164
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,1f679ce0-7f2c-4c81-b44d-ec7f765544ad,20.0,2009083732.5420752
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,81b009b0-0923-46a8-a144-17e1af44a5f0,16cc538b-d9ea-45dd-a4d1-bf254a5b97c3,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,81b009b0-0923-46a8-a144-17e1af44a5f0,8c398ee3-e6a6-4921-8881-65c3659e452c,1.0,36561227.68479777
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,81b009b0-0923-46a8-a144-17e1af44a5f0,f96a94d3-dd44-4e64-9320-4e315aa02bc3,8.0,803835744.9042256
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,81b009b0-0923-46a8-a144-17e1af44a5f0,acf21916-af95-4ac5-ba6b-5f1fc7f0ed21,10.0,1006547590.182601
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,cb049a79-61dc-4697-b07b-e2138d92a9dd,e8782cd9-6535-489b-aa2c-1dd709303577,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,cb049a79-61dc-4697-b07b-e2138d92a9dd,1eda0c49-cd51-42ba-ba24-29570a3ec9ab,1.0,48299217.411331184
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,cb049a79-61dc-4697-b07b-e2138d92a9dd,2c5394ba-3720-4350-9c93-274598b4eb23,8.0,832420057.0828049
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,cb049a79-61dc-4697-b07b-e2138d92a9dd,90b8db9b-5dc8-4bae-b163-8e7ba01f5401,10.0,990185145.2150749
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b0d43fe9-4fb1-4296-ae22-a708f149aff3,3e47085c-7942-42e1-8b33-15c2104d7717,,
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b0d43fe9-4fb1-4296-ae22-a708f149aff3,f0dd2a35-f59a-4b78-898d-319a0e861445,1.0,91339373.6933798
